"fip","H.Clinton","B.Sanders","D.Trump","T.Cruz","M.Rubio","J.Kasich","state","winnerdem_votes","winnerrep_votes","winnerdem","winnerrep"
"13149","276","111","1068","415","216","102","GA",276,1068,"H.Clinton","D.Trump"
"13151","15639","4406","11330","8184","5746","858","GA",15639,11330,"H.Clinton","D.Trump"
"13153","6274","1946","7091","5133","4130","862","GA",6274,7091,"H.Clinton","D.Trump"
"13155","326","74","869","295","155","37","GA",326,869,"H.Clinton","D.Trump"
"13157","1193","729","5484","3551","2397","404","GA",1193,5484,"H.Clinton","D.Trump"
"13159","632","133","1205","701","371","67","GA",632,1205,"H.Clinton","D.Trump"
"13161","400","106","1071","541","366","69","GA",400,1071,"H.Clinton","D.Trump"
"13163","1519","189","821","484","259","39","GA",1519,821,"H.Clinton","D.Trump"
"13165","355","64","513","225","162","25","GA",355,513,"H.Clinton","D.Trump"
"13167","388","64","684","269","176","24","GA",388,684,"H.Clinton","D.Trump"
"13169","1585","371","2318","1021","736","143","GA",1585,2318,"H.Clinton","D.Trump"
"13171","868","208","1398","726","449","97","GA",868,1398,"H.Clinton","D.Trump"
"13173","234","69","512","196","111","24","GA",234,512,"H.Clinton","D.Trump"
"13175","2294","453","3088","1562","1284","230","GA",2294,3088,"H.Clinton","D.Trump"
"13177","1009","335","3057","1427","829","184","GA",1009,3057,"H.Clinton","D.Trump"
"13179","2783","678","1332","644","563","128","GA",2783,1332,"H.Clinton","D.Trump"
"13181","538","93","742","515","263","22","GA",538,742,"H.Clinton","D.Trump"
"13183","261","111","633","249","142","20","GA",261,633,"H.Clinton","D.Trump"
"13185","3891","1791","5194","3127","1970","384","GA",3891,5194,"H.Clinton","D.Trump"
"13187","560","532","2453","1645","1027","298","GA",560,2453,"H.Clinton","D.Trump"
"13193","977","105","415","162","135","28","GA",977,415,"H.Clinton","D.Trump"
"13195","656","505","2460","1578","852","147","GA",656,2460,"H.Clinton","D.Trump"
"13197","431","120","473","228","95","15","GA",431,473,"H.Clinton","D.Trump"
"13189","1274","223","1288","1046","503","88","GA",1274,1288,"H.Clinton","D.Trump"
"13191","863","149","1078","373","299","95","GA",863,1078,"H.Clinton","D.Trump"
"13199","1463","237","1435","711","491","103","GA",1463,1435,"H.Clinton","D.Trump"
"13201","159","37","555","152","139","15","GA",159,555,"H.Clinton","D.Trump"
"13205","1338","203","1246","441","298","88","GA",1338,1246,"H.Clinton","D.Trump"
"13207","1250","300","2262","1455","1014","266","GA",1250,2262,"H.Clinton","D.Trump"
"13209","287","72","712","342","200","35","GA",287,712,"H.Clinton","D.Trump"
"13211","910","259","1656","1151","873","184","GA",910,1656,"H.Clinton","D.Trump"
"13213","444","407","3084","1028","673","119","GA",444,3084,"H.Clinton","D.Trump"
"13215","12801","3319","5325","4177","3424","1109","GA",12801,5325,"H.Clinton","D.Trump"
"13217","7269","2001","5626","3492","2427","356","GA",7269,5626,"H.Clinton","D.Trump"
"13219","1223","1098","2871","2352","2579","665","GA",1223,2871,"H.Clinton","D.Trump"
"13221","561","358","1230","764","439","115","GA",561,1230,"H.Clinton","D.Trump"
"13223","4095","2111","10002","6776","5038","656","GA",4095,10002,"H.Clinton","D.Trump"
