"fip","H.Clinton"
"50007","5686"
"50009","141"
"50011","777"
"50013","233"
"50015","574"
"50017","646"
"50019","472"
"50021","1584"
"50023","1719"
"50025","1416"
"50027","2194"
"51001","1789"
"51003","8284"
"51510","16281"
"51005","433"
"51007","671"
"51009","1044"
"51011","448"
"51013","25561"
"51015","1639"
"51017","148"
"51019","1876"
"51021","125"
"51023","888"
"51520","428"
"51025","1354"
"51027","523"
"51029","806"
"51530","143"
"51031","1296"
"51033","1902"
"51035","600"
"51036","863"
"51037","635"
"51540","3888"
"51550","16126"
"51041","22674"
"51043","625"
"51570","407"
"51580","244"
"51045","113"
"51047","1421"
"51049","639"
"51590","2676"
"51051","346"
"51053","1935"
"51595","404"
"51057","642"
"51059","86898"
"51600","1840"
"51610","1587"
"51061","2860"
"51063","396"
"51065","1355"
"51067","1674"
"51620","831"
"51069","2136"
"51630","1396"
"51640","129"
"51071","405"
"51073","1448"
"51075","1572"
"51077","265"
"51079","579"
"51081","832"
"51083","1754"
"51650","13529"
"51085","4915"
"51660","1481"
"51087","28121"
"51089","1809"
"51091","86"
"51670","1177"
"51093","2446"
"51095","5210"
"51097","477"
"51099","916"
"51101","841"
"51103","823"
"51105","299"
"51678","402"
"51107","21171"
"51109","1630"
"51111","738"
"51680","3104"
"51113","538"
"51683","1812"
"51685","581"
"51690","834"
"51115","435"
"51117","1588"
"51119","559"
"51121","3506"
"51125","991"
"51127","951"
"51700","12495"
"51710","15747"
"51131","868"
"51133","818"
"51720","86"
"51135","829"
"51137","1322"
"51139","411"
"51141","361"
"51730","4099"
"51143","2369"
"51735","295"
"51740","9464"
"51145","1079"
"51147","1366"
"51149","1992"
"51153","26439"
"51155","837"
"51750","472"
"51157","416"
"51159","333"
"51760","21822"
"51161","3323"
"51770","4783"
"51163","902"
"51165","1734"
"51167","556"
"51775","824"
"51169","305"
"51171","958"
"51173","526"
"51175","1199"
"51177","5399"
"51179","6437"
"51790","1114"
"51800","7533"
"51181","812"
"51183","958"
"51185","683"
"51810","22352"
"51187","941"
"51191","1181"
"51820","788"
"51193","879"
"51830","1159"
"51840","949"
"51195","519"
"51197","528"
"51199","3292"
"1","1833"
"2","3225"
"3","4689"
"4","2846"
"21001",NA
"21003",NA
"21005",NA
"21007",NA
"21009",NA
"21011",NA
"21013",NA
"21015",NA
"21017",NA
"21019",NA
"21021",NA
"21023",NA
"21025",NA
"21027",NA
"21029",NA
"21031",NA
"21033",NA
"21035",NA
"21037",NA
"21039",NA
"21041",NA
"21043",NA
"21045",NA
"21047",NA
"21049",NA
"21051",NA
"21053",NA
"21055",NA
"21057",NA
"21059",NA
"21061",NA
"21063",NA
"21065",NA
"21067",NA
"21069",NA
"21071",NA
"21073",NA
"21075",NA
"21077",NA
"21079",NA
"21081",NA
"21083",NA
"21085",NA
"21087",NA
"21089",NA
"21091",NA
"21093",NA
"21095",NA
"21097",NA
"21099",NA
"21101",NA
"21103",NA
"21105",NA
"21107",NA
"21109",NA
"21111",NA
"21113",NA
"21115",NA
"21117",NA
"21119",NA
"21121",NA
"21123",NA
"21125",NA
"21127",NA
"21129",NA
"21131",NA
"21133",NA
"21135",NA
"21137",NA
"21139",NA
"21141",NA
"21143",NA
"21151",NA
"21153",NA
"21155",NA
"21157",NA
"21159",NA
"21161",NA
"21145",NA
"21147",NA
"21149",NA
"21163",NA
"21165",NA
"21167",NA
"21169",NA
"21171",NA
"21173",NA
"21175",NA
"21177",NA
"21179",NA
"21181",NA
"21183",NA
"21185",NA
"21187",NA
"21189",NA
"21191",NA
"21193",NA
"21195",NA
"21197",NA
"21199",NA
"21201",NA
"21203",NA
"21205",NA
"21207",NA
"21209",NA
"21211",NA
"21213",NA
"21215",NA
"21217",NA
"21219",NA
"21221",NA
"21223",NA
"21225",NA
"21227",NA
"21229",NA
"21231",NA
"21233",NA
"21235",NA
"21237",NA
"21239",NA
"22001","1862"
"22003","536"
"22005","4221"
"22007","1139"
"22009","1181"
"22011","679"
"22013","1056"
"22015","2919"
"22017","16666"
"22019","6594"
"22021","250"
"22023","123"
"22025","431"
"22027","768"
"22029","1830"
"22031","1508"
"22033","32960"
"22035","508"
"22037","1847"
"22039","1319"
"22041","650"
"22043","367"
"22045","2171"
"22047","3699"
"22049","827"
"22051","17581"
"22053","738"
"22059","136"
"22055","5920"
"22057","2512"
"22061","1692"
"22063","1633"
"22065","722"
"22067","1513"
"22069","2545"
"22071","40601"
"22073","8995"
"22075","674"
"22077","1680"
"22079","4722"
"22081","530"
"22083","696"
"22085","387"
"22087","1057"
"22089","2245"
"22091","1407"
"22093","2114"
"22095","3818"
"22097","4606"
"22099","1869"
